rule_id,priority,class,intent,trigger_phrases,dm_response,public_comment_reply,link_code,link_kind,escalate,grounded_in,status,notes,promo_from,promo_until,promo_review_by,promo_response
SP-4B,20,fast_lane,4-bedroom semi-detached,4 bedroom|4 bed|four bedroom|4bedroom|4bed|4 bedroom semi|semi detached|semi-detached|the 4 bed|4 bedroom house|duplex|4 bedroom duplex|semi detached duplex|luxury duplex,"The 4-bedroom semi-detached is 185,000,000 naira. It is completed and finished, and 3 units are available as at our last stock check.

The price covers the purchase only - legal fees, utility connection and the homeowners association fee are separate. Payment starts from a 50% deposit with the balance over 3, 6 or 12 months, and the team will confirm which plan applies to this unit today.

Want to see it? Inspections run any day of the week, weekends included.",Just sent you a DM,SP-4B,whatsapp,FALSE,units[0].price_ngn|units[0].available|units[0].finishing|pricing_terms.excluded_from_price|payment.initial_deposit,live,"PROMO LIVE (open-ended, re-confirm by 2026-10-15). 70% deposit per Collins 2026-09-15, adopted on ADEDAMOLA's instruction. Noted for the record: 70% is higher than the signed 50%, so the assistant asks a buyer for more upfront, not less. Reverts to the signed 50% if the promo is not re-confirmed.",,,2026-10-15,"The 4-bedroom semi-detached is 185,000,000 naira - completed, finished, and 3 units are available as at our last stock check.

On the current campaign it is a 70% initial deposit with the balance spread over 12 months. The price covers the purchase only; legal fees, utility connection and the homeowners association fee are separate.

Want to see it? Inspections run any day of the week, weekends included."
SP-5B,20,fast_lane,5-bedroom off-plan,5 bedroom|5 bed|five bedroom|5bedroom|5bed|off plan|offplan|off-plan|5 bedroom semi|chairman|chairmans choice|the chairmans choice|flagship|5 bedroom duplex|pre construction|preconstruction,"The 5-bedroom semi-detached is 200,000,000 naira, sold off-plan, with 4 units available as at our last stock check. Finishing is included.

Payment is 50% down with the balance over 3, 6 or 12 months. Handover timelines for off-plan are confirmed at the point of purchase - let me have the team give you the exact date for this unit.",Just sent you a DM,SP-5B,whatsapp,TRUE,units[2].price_ngn|units[2].available|units[2].stage|payment.plan_durations,live,Escalates because handover_dates_supplied is false. Longest sales cycle - this is where the Concierge earns its fee.,,,,
SP-LAND,20,fast_lane,Serviced plots / bare land,land|plot|plots|bare land|serviced plot|serviced plots|land for sale|buy land|per sqm|sqm|square meter|square metre|landed property|648|648 sqm|plot size|plot sizes|size of plot|how big is the plot,"Residential plots at Shalom Park measure 648 sqm and are priced at 125,000 naira per square metre, inside the gated estate.

Availability moves, and larger parcels are priced separately, so let me get the team to confirm what is open right now before you plan around it.",Just sent you a DM,SP-LAND,whatsapp,TRUE,units[3].price_ngn_per_sqm|escalate_always[6],live,"Plot size 648 sqm supplied by Collins 2026-09-15, filling a blank the signed sheet left. At the warranted rate that implies about 81,000,000 naira a plot - the assistant states size and rate, never the multiplication, and never availability.",,,,
SP-PRICE-GEN,30,fast_lane,General price enquiry,price|prices|pricing|price list|how much|hw much|how much is it|how much be|cost|what is the cost|rate|rates|wetin be the price|abeg how much|send price|price please,"Here is what is currently at Shalom Park Estate, Abijo:

- 4-bedroom semi-detached (completed) - 185,000,000 naira
- 5-bedroom semi-detached (off-plan) - 200,000,000 naira
- Serviced plots - 125,000 naira per square metre
- 2-bedroom condominium (under development) - 95,000,000 naira

Prices cover the purchase only; legal fees, utility connection and the homeowners association fee are separate.

Which one should I send details on?",Just sent you a DM,SP-PRICE-GEN,whatsapp,FALSE,units[0].price_ngn|units[1].price_ngn|units[2].price_ngn|units[3].price_ngn_per_sqm|pricing_terms.excluded_from_price,live,All four products now carry a price. The 2-bed figure was released 2026-09-15 once Collins restated it.,,,,
SP-AVAIL,30,fast_lane,Availability / stock,available|availability|still available|how many left|units left|remaining|is it still available|any left|sold out,"As at our last stock check:

- 4-bedroom semi-detached (completed) - 3 available
- 2-bedroom condominium (under development) - 5 of 16 available
- 5-bedroom semi-detached (off-plan) - 4 available
- Serviced plots (648 sqm) - the team will confirm current availability

Stock is re-checked monthly, so let me confirm anything you are serious about before you decide.",Just sent you a DM,SP-AVAIL,whatsapp,FALSE,units[0].available|units[1].available|units[1].total_units|units[2].available|fact_maintenance.unit_count_update_frequency,live,Counts stated plainly with the re-check cadence. No scarcity language - CLAUDE.md rule 2.,,,,
SP-LOC,30,fast_lane,Location / directions,location|where|where is it|address|map|direction|directions|how do i get there|abijo|ibeju|ibeju lekki|which area|located,"Shalom Park Estate is at Abijo, opposite GRA Second Gate, Ibeju-Lekki 105101, Lagos.

It is under 5 minutes from the Lekki-Epe Expressway, about 7 to 10 minutes from Novare Lekki Mall (Shoprite Sangotedo), and roughly 5 minutes from Caleb British International School.

Want to come and see it? Representatives are on site any day of the week.",Just sent you a DM,SP-LOC,whatsapp,FALSE,location.address|location.landmarks,live,Safest card in the set - no price no title. Good default for cold traffic.,,,,
SP-INSPECT,30,fast_lane,Inspection booking,inspection|inspect|site visit|visit|viewing|view it|tour|come and see|book|booking|appointment|schedule|can i see it,"Inspections run any day of the week, including weekends - representatives are on site and on standby, so you are never shown around by someone who does not know the estate.

If you would rather not travel, we also do virtual inspections over Zoom, FaceTime or WhatsApp video.

What day works for you?",Just sent you a DM,SP-INSPECT,whatsapp,TRUE,inspection.physical|inspection.meeting_point|inspection.virtual,live,Escalates because capabilities.booking is false - no calendar is wired yet. Turn escalate off when booking ships.,,,,
SP-VIRTUAL,20,fast_lane,Diaspora / virtual inspection,virtual|virtual tour|video call|zoom|facetime|whatsapp video|diaspora|i am abroad|from abroad|overseas|based in uk|based in usa|based in canada|i live abroad,"Yes - virtual inspections run over Zoom, FaceTime or WhatsApp video, and you are welcome to send a representative to inspect on your behalf.

Tell me your time zone and let me have the team set a time that works for you.",Just sent you a DM,SP-VIRTUAL,whatsapp,TRUE,inspection.virtual|inspection.diaspora_representative_allowed,live,Diaspora buyers are the highest-value segment and the most time-zone-hostile - this card exists for them.,,,,
SP-PAY,20,fast_lane,Payment plan,payment plan|payment|installment|installments|instalment|instalments|spread|spread payment|deposit|initial deposit|down payment|part payment|can i pay in bits,"Payment is a 50% initial deposit, with the balance spread over 3, 6 or 12 months.

The price covers the purchase only - legal fees, utility connection and the homeowners association fee are separate.

I will not quote you a figure for the instalment balance myself; let me get the team to put the exact breakdown in writing for you.",Just sent you a DM,SP-PAY,whatsapp,TRUE,payment.initial_deposit|payment.plan_durations|payment.interest_or_markup,live,interest_or_markup is null. Any instalment arithmetic is an escalation until that field is filled.,,,,
SP-DOCS,20,fast_lane,Title and documents,title|title document|documents|document|c of o|certificate of occupancy|governors consent|governor consent|survey|survey plan|deed|papers|what title|is the title good,"Shalom Park Estate is held under Governors Consent, with confirmed layout approval, and IFT Realty has warranted that there is no litigation, acquisition or dispute on the land.

On purchase you receive a receipt, contract of sale, legal documentation and survey.

For the document references themselves, let me put you with the team - that is not something I should be reading out in a chat.",Sent you a DM - the team will pick this up with you,SP-DOCS,whatsapp,TRUE,documentation.title_status|documentation.layout_approval|delivery.documents_buyer_receives,live,PRIVATE REPLY ONLY. Title type may be stated conversationally but must never appear in a public comment - documents not yet sighted (Gate 2).,,,,
SP-AMEN,30,fast_lane,Amenities and facilities,amenities|amenity|facilities|facility|security|light|power|electricity|generator|water|drainage|road|roads|street light|what is in the estate|estate features|solar,"Delivered at Shalom Park: gated access with CCTV and patrols, diesel generator power supply with the developments solar-compatible, water treatment and drainage, plus roads and street lighting.

Anything specific you want to know about?",Just sent you a DM,SP-AMEN,whatsapp,FALSE,amenities.delivered,live,Everything listed is warranted as DELIVERED not planned. Never move an item from planned to delivered without a signed update.,,,,
SP-BUILD,20,fast_lane,Building restrictions,can i build|build|building|storey|storeys|floors|how many floors|building restriction|restrictions|construction,"On serviced plots you are free to build, with one restriction: nothing beyond 4 storeys.

For anything else on building approvals or specifications, let me get the team on it.",Just sent you a DM,SP-BUILD,whatsapp,TRUE,delivery.building_restrictions,live,The 4-storey cap is the only building fact in the sheet. Everything else escalates.,,,,
SP-DELIV,30,fast_lane,Allocation and handover,allocation|allocate|when do i get it|handover|hand over|when will i receive|what documents do i get|after payment,"Land is allocated instantly on purchase. For off-plan properties, a handover timeline is given at the point of purchase.

On purchase you receive a receipt, contract of sale, legal documentation and survey.

Let me have the team confirm the exact handover date for the unit you are looking at.",Just sent you a DM,SP-DELIV,whatsapp,TRUE,delivery.allocation|delivery.documents_buyer_receives|delivery.handover_dates_supplied,live,handover_dates_supplied is false - always escalate the date.,,,,
SP-INFO,90,fast_lane,Generic interest,info|information|details|more info|more details|send info|send details|send me info|tell me more|interested|i am interested|dm|dm me|please dm|hello|hi|good morning|good afternoon|good evening,"Hi - you are through to Shalom Park Estates assistant, and a member of the team is one message away whenever you want them.

Shalom Park is at Abijo, opposite GRA Second Gate, Ibeju-Lekki, on 10.37 hectares. There are 4-bedroom and 5-bedroom semi-detached homes, 2-bedroom condominiums and serviced plots.

What would you like - prices, location, or an inspection?",Just sent you a DM,SP-INFO,whatsapp,FALSE,location.address|development.total_land_size|units,live,Lowest priority - the catch-all. Opens with AI disclosure because it is usually the first touch.,,,,
SP-ESC-PROMO,10,escalate_only,Promotion / campaign pricing,summer|promo|promotion|promotions|flash sale|flash sales|summer sale|summer flash sales|summer promo|special offer|current offer|any promo|entry price|entry rate|discounted entry,"There are offers running at Shalom Park, and the terms change - so rather than quote you something that may have moved, let me get the team to tell you exactly what is open to you today and how long it stands.",Sent you a DM - the team will pick this up with you,SP-ESC-PROMO,none,TRUE,escalate_always[7],live,"PROMO LIVE (open-ended, re-confirm by 2026-10-15). Reverts to the neutral ""let me check what is running"" answer if the review lapses.",,,2026-10-15,"Yes - there are offers running at Shalom Park right now, including a 5,000,000 naira entry deposit on the 2-bedroom condominium with the balance over 12 months.

They run until the units are sold rather than to a fixed date, so let me get the team to confirm exactly what is open to you today."
SP-DEVPLOT,10,escalate_only,Developer / bulk land,developer|developer plot|bulk purchase|bulk buy|buy in bulk|joint venture|townhome|townhomes|townhouse|townhouses|multi unit|multiple plots|large parcel|bulk land|block of plots,"Shalom Park Estate is developed by IFT Realty Ltd, and there is a large parcel of about 6,738 sqm available for multi-unit or townhome development.

Bulk parcels are priced and structured separately from single plots, so let me put you straight with the team.",Sent you a DM - the team will pick this up with you,SP-DEVPLOT,none,TRUE,developer.legal_name|escalate_always[6],live,"Parcel size supplied by Collins 2026-09-15. Deliberately NOT priced: bulk rates may differ from 125,000/sqm, and at this size the difference is hundreds of millions.",,,,
SP-INVEST,20,fast_lane,"Investment case (facts, not forecasts)",investment|strategic asset|investment opportunity|good investment|worth investing|investor|is it a good buy|why buy here,"The 5-bedroom semi-detached is the off-plan position at Shalom Park - 200,000,000 naira, 4 units available, finishing included.

What is already on the ground rather than promised: Governors Consent and confirmed layout approval, gated access with CCTV and patrols, generator power with the developments solar-compatible, water treatment and drainage, and roads with street lighting. The estate is 10.37 hectares, about 30% developed, and sits under 5 minutes from the Lekki-Epe Expressway.

I do not deal in projections or figures - for that conversation let me put you with the team.",Just sent you a DM,SP-INVEST,whatsapp,TRUE,units[2].price_ngn|units[2].available|units[2].finishing|documentation.title_status|documentation.layout_approval|amenities.delivered|development.total_land_size|development.overall_stage_percent|location.landmarks,live,"The INVESTMENT campaign, shipped 2026-09-15 on ADEDAMOLA's instruction. Makes the case entirely from warranted, DELIVERED facts - title, infrastructure on the ground, stage, access - and carries no projection, percentage, guarantee or claim that value will rise. Those stay with SP-ESC-ROI, which outranks this rule whenever both match.",,,,
